Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
03/11/2022,"Altec Industries, Inc.",Missing Carbon Monoxide Detectors,EQUIPMENT,Vehicle,46.0,No,No
10/15/2018,"Forest River, Inc.",Knee Impact Area Foam Insufficient/FMVSS 222,SEATS,Vehicle,872.0,No,No
05/04/2022,"Kalmar Solutions, LLC",Parking Brake Will Set Unexpectedly,PARKING BRAKE,Vehicle,687.0,No,No
04/21/2023,"Forest River, Inc.",Generator Set Fuel Hose May Cause Gas Leak,"FUEL SYSTEM, GASOLINE",Vehicle,1027.0,No,No
06/17/2022,Triple E Recreational Vehicles,Damaged Cooktop Control Valves May Leak Gas,EQUIPMENT,Vehicle,371.0,No,No
03/22/2019,Driverge Vehicle Innovations,Seat Back may not Stay Upright,SEATS,Vehicle,776.0,No,No
06/16/2023,"Altec Industries, Inc.",Load-Holding Feature May Fail,EQUIPMENT,Vehicle,3824.0,No,No
01/13/2023,"Lode-King Industries, Ltd.",Missing Weld May Cause Cargo Winch to Fail,EQUIPMENT,Vehicle,38.0,No,No
11/22/2017,"Heartland Recreational Vehicles, LLC",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,19615.0,No,No
06/06/2014,"Corp. Micro Bird, Inc.",Corrosion of Propane Tank Fuel Line,"FUEL SYSTEM, OTHER",Vehicle,38.0,No,No
03/29/2019,"Forest River, Inc.",Vehicles May Lack Inline Fuse,ELECTRICAL SYSTEM,Vehicle,146.0,No,No
04/01/2016,Pierce Manufacturing,Flashlight Battery Pack May Overheat,EQUIPMENT,Vehicle,36.0,No,No
07/06/2022,"Forest River, Inc.",Safety Chains May Break,EQUIPMENT,Vehicle,958.0,No,No
02/23/2023,Thor Motor Coach,Front Lower Cap Brackets May Detach,EQUIPMENT,Vehicle,1969.0,No,No
04/12/2022,Prevost Car (US) Inc.,Frayed Passenger Seat Belt Buckle Wires,SEAT BELTS,Vehicle,33.0,No,No
01/30/2023,Lion Electric Company,Incompatible Miter Box May Cause Loss of Steering,STEERING,Vehicle,32.0,No,No
